Time,Down,Type,Yards,Details,Calgary,BC
07:58,2,Sack,-4,Sack at Cgy34 for a loss of 4 yards by Quinn Smith.,30,16
07:29,3,Pass,4,Kevin Glenn pass to Stefan Logan for 4 yards to the Cgy30. Tackled by Juwan Simpson.,30,16
07:14,1,Pass,12,Drew Tate pass to Marquay McDaniel for 12 yards to the Cgy42. Tackled by Dante Marsh.,30,16
06:36,1,Fumble,7,"Drew Tate pass to Anthony Parker for 7 yards to the Cgy49. FUMBLE, recovered by Cgy (Anthony Parker).",30,16
06:09,2,Pass,6,Drew Tate pass to Marquay McDaniel for 6 yards to the Cgy55. Tackled by Dante Marsh.,30,16
05:45,1,Rush,2,Martell Mallett rush for 2 yards to the BC53. Tackled by Cord Parks.,30,16
05:08,2,Pass,17,Drew Tate pass to Joe West for 17 yards to the BC36. Tackled by Alex Hoffman-Ellis.,30,16
04:26,1,Pass,1,Drew Tate pass to Marquay McDaniel for 1 yard to the BC35. Tackled by Cord Parks.,30,16
03:42,2,Pass,13,Drew Tate pass to Martell Mallett for 13 yards to the BC22. Tackled by Dante Marsh.,30,16
03:10,1,Pass,9,Drew Tate pass to Marquay McDaniel for 9 yards to the BC13. Tackled by Alex Hoffman-Ellis.,30,16
03:00,2,Rush,2,Bryant Moniz rush for 2 yards to the BC11. Tackled by Solomon Elimimian.,30,16
02:49,1,Rush,4,Martell Mallett rush for 4 yards to the BC7. Tackled by J.R. LaRose.,30,16
02:25,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,30,16
02:18,3,Missed Field Goal,14,Rene Paredes 14 yard field goal attempt is GOOD.,33,16
02:18,1,Pass,9,Kevin Glenn pass to Kito Poblah for 9 yards to the BC44. Tackled by Buddy Jackson.,33,16
02:14,2,Rush,1,Stefan Logan rush for 1 yard to the BC45. Tackled by Frank Beltre.,33,16
01:58,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marco Iannuzzi.,33,16
01:41,2,Sack,-9,Sack at BC36 for a loss of 9 yards by Quinn Smith.,33,16
01:36,3,Punt,6,Ricky Schmitt punts for 48 yards to Cgy26. Anthony Parker return for 6 yards to Cgy32. Tackled by Bo Lokombo.,33,16
01:19,1,Rush,1,Martell Mallett rush for 1 yard to the Cgy33. Tackled by Alex Hoffman-Ellis.,33,16
01:14,2,Rush,6,Martell Mallett rush for 6 yards to the Cgy39. Tackled by Ryan Phillips.,33,16
00:47,3,Punt,-1,Rob Maver punts for 45 yards to BC26. Marco Iannuzzi return for a loss of 1 yard to BC25. Tackled by Keenan MacDougall.,33,16
00:20,1,Sack,-2,Sack at BC23 for a loss of 2 yards by Quinn Smith.,33,16
00:14,2,Rush,3,Stefan Logan rush for 3 yards to the BC26. Tackled by Frank Beltre.,33,16
