Time,Down,Type,Yards,Details,BC,Toronto
06:08,0,Kickoff,27,Ricky Schmitt kicks off to the Tor0. Terrell Sinkfield return for 27 yards to Tor26. Tackled by Akwasi Antwi.,26,17
05:59,1,Pass,4,Ricky Ray pass to Terrell Sinkfield for 4 yards to the Tor30. Tackled by Adam Bighill.,26,17
05:21,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield.,26,17
05:02,3,Illegal Block,-9,Swayze Waters punts for 55 yards to BC25.   return for 1 yard to BC26. Penalty: Illegal Block on BC (T.J. Lee) -10 yards.,26,17
04:44,1,Rush,19,Stefan Logan rush for 19 yards to the BC35.,26,17
04:21,1,Rush,2,Stefan Logan rush for 2 yards to the BC37. Tackled by Shea Emry.,26,17
03:43,2,Pass,10,Kevin Glenn pass to Ernest Jackson for 10 yards to the BC47. Tackled by Brandon Underwood.,26,17
03:10,1,Rush,4,rush for 4 yards to the BC51. Tackled by Dwight Anderson.,26,17
02:41,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,26,17
02:22,3,Punt,12,Ricky Schmitt punts for 53 yards to Tor6. Branden Smith return for 12 yards to Tor18. Tackled by Akwasi Antwi.,26,17
01:56,1,Interception,31,Ricky Ray pass intended for Jason Barnes INTERCEPTED and returned for 31 yards for a TOUCHDOWN.,32,17
01:56,0,Unnecessary Roughness,15,Paul McCallum extra point is good. Penalty: Unnecessary Roughness on Toronto (Tristan Okpalaugo) 15 yards.,33,17
01:56,0,Kickoff,15,Ricky Schmitt kicks off to the Tor0. Robert Gill return for 15 yards to Tor5. Tackled by Akwasi Antwi.,33,17
01:50,1,Rush,9,Ricky Ray rush for 9 yards to the Tor14. Tackled by Ryan Phillips.,33,17
01:38,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on BC 10 yards.,33,17
01:28,1,Pass,-7,Ricky Ray pass to Ricky Ray for a loss of 7 yards to the Tor17. Tackled by Eric Taylor.,33,17
01:21,2,Interception,5,Ricky Ray pass intended for Terrell Sinkfield INTERCEPTED and returned for 5 yards. Tackled by Terrell Sinkfield.,33,17
01:08,1,Rush,3,Stefan Logan rush for 3 yards to the Tor19. Tackled by Logan Harrell.,33,17
01:03,2,Rush,10,Stefan Logan rush for 10 yards to the Tor9. Tackled by Antwaun Molden.,33,17
00:56,1,Rush,4,rush for 4 yards to the Tor5. Tackled by Shane Horton.,33,17
00:32,2,Rush,4,rush for 4 yards to the Tor1. Tackled by Dwight Anderson.,33,17
