Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
04:12,0,Holding,-10,Penalty: Holding on Saskatchewan (Dominic Picard) -10 yards.,10,31
03:51,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk25. Tackled by Rico Murray.,10,31
03:28,0,Sack,-4,FUMBLE Sack at Ssk25 for no gain by Bryan Hall. . Tackled by Rico Murray,10,31
02:53,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Samuel Hurl) -5 yards.,10,31
02:37,3,Punt,16,Josh Bartel punts for 59 yards to Ham35. Brandon Banks return for 16 yards to Ham51. Tackled by Scott McHenry.,10,31
02:20,1,Sack,-7,Sack at Ham44 for a loss of 7 yards by Tearrius George.,10,31
02:09,2,Pass,5,Zach Collaros pass to Brandon Banks for 5 yards to the Ham49. Tackled by Weldon Brown.,10,31
01:58,3,Punt,4,Justin Medlock punts for 33 yards to Ssk28. Marshay Green return for 4 yards to Ssk32. Tackled by Marc Beswick.,10,31
01:48,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk35. Tackled by Bryan Hall.,10,31
01:35,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk39. Tackled by Bryan Hall.,10,31
01:18,3,Punt,18,Josh Bartel punts for 54 yards to Ham17. Brandon Banks return for 18 yards to Ham35. Tackled by Shomari Williams.,10,31
00:45,1,Pass,13,Zach Collaros pass to Luke Tasker for 13 yards to the Ham48. Tackled by Brian Peters.,10,31
00:37,1,Pass,10,Zach Collaros pass to Bakari Grant for 10 yards to the Ssk52.,10,31
00:26,1,Pass,6,Zach Collaros pass to Samuel Giguere for 6 yards to the Ssk46. Tackled by Tristan Jackson.,10,31
00:21,2,Sack,-2,Sack at Ssk48 for a loss of 2 yards by Ricky Foley.,10,31
00:01,3,Rush,1,Zach Collaros rush for 1 yard to the Ssk47. Tackled by Derek Walker.,10,31
