Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
02:38,2,Rush,2,Steven Miller rush for 2 yards to the Ssk35. Tackled by Odell Willis.,17,24
02:16,3,Fumble,8,"Josh Bartel punts for 34 yards to Edm41. Kendial Lawrence return for 5 yards to Edm46. FUMBLE, recovered by Ssk ( ) and returned for 3 yards. Tackled by Deon Lacey.",17,24
01:44,1,Rush,4,Steven Miller rush for 4 yards to the Edm39. Tackled by Almondo Sewell.,17,24
01:38,2,Rush,3,Steven Miller rush for 3 yards to the Edm36. Tackled by J.C. Sherritt.,17,24
01:24,3,Punt,10,Josh Bartel punts for 40 yards to Edm0. Kendial Lawrence return for 10 yards to Edm6. Tackled by  .,17,24
01:04,1,Pass,12,Matt Nichols pass to Nate Coehoorn for 12 yards to the Edm18. Tackled by Marvin Burdette.,17,24
00:58,1,Pass,2,Matt Nichols pass to Kendial Lawrence for 2 yards to the Edm20. Tackled by  .,17,24
00:40,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn.,17,24
00:24,3,Pass,11,Matt Nichols pass to Tyler Thomas for 11 yards to the Edm31. Tackled by Marvin Burdette.,17,24
00:18,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Fred Stamps defensed by Woodny Turenne.,17,24
00:09,2,Punt,0,Matt Nichols pass to Nate Coehoorn for 10 yards to the Edm41. Nate Coehoorn punts for 68 yards to Ssk1. No return.,17,24
