Time,Down,Type,Yards,Details,Montreal,Hamilton
14:49,2,Rush,10,Robert Godhigh rush for 10 yards to the Ham20. Tackled by Neil King.,20,21
14:14,3,Offside,5,Penalty: Offside on Hamilton 5 yards.,20,21
13:59,1,Rush,-4,Robert Godhigh rush for a loss of 4 yards to the Ham19. Tackled by Frederic Plesius.,20,21
13:30,2,Incomplete Pass,0,Collin Klein incomplete pass intended for Eric Deslauriers.,20,21
12:43,3,Missed Field Goal,26,Delbert Alvarado 26 yard field goal attempt is GOOD.,23,21
12:43,1,Rush,2,Jeremiah Masoli rush for 2 yards to the Ham37. Tackled by Stephon Robertson.,23,21
11:54,2,Rush,7,Jeremiah Masoli rush for 7 yards to the Ham44. Tackled by Dominique Ellis.,23,21
11:17,3,Rush,3,Jeremiah Masoli rush for 3 yards to the Ham47. Tackled by Bo Adebayo.,23,21
10:43,1,Pass,7,Jeremiah Masoli pass to LaMark Brown for 7 yards to the Ham54. Tackled by Brandon Driver.,23,21
10:17,2,Rush,1,Isi Sofele rush for 1 yard to the Ham55. Tackled by Brian Brikowski.,23,21
09:45,3,Time Count,-5,Penalty: Time Count on Hamilton (Brett Lauther) -5 yards.,23,21
09:20,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Montreal 10 yards.,23,21
09:08,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Kelvin Bolden defensed by Jamaan Webb.,23,21
08:47,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Samuel Giguere.,23,21
08:23,3,Punt,0,Brett Lauther punts for 31 yards to Mtl19. No return.,23,21
08:08,1,Incomplete Pass,0,Collin Klein incomplete pass intended for Kenny Stafford.,23,21
07:50,2,Sack,-6,Sack at Mtl13 for a loss of 6 yards by Antonio Coleman.,23,21
07:17,3,Punt,5,Delbert Alvarado punts for 40 yards to Mtl53. Jahmeek Taylor return for 5 yards to Mtl48. Tackled by Dominique Ellis.,23,21
06:55,1,Rush,12,Jeremiah Masoli rush for 12 yards to the Mtl36.,23,21
06:34,1,Pass,20,Jeremiah Masoli pass to Isaac Dell for 20 yards to the Mtl16. Tackled by Daryl Townsend.,23,21
05:34,1,Pass,16,Jeremiah Masoli pass to Samuel Giguere for 16 yards for a TOUCHDOWN.,23,27
05:16,0,Made Extra Point,0,Brett Lauther extra point is good.,23,28
05:16,0,Kickoff,17,Brett Lauther kicks off to the Mtl12. Brandon Rutley return for 17 yards to Mtl29. Tackled by Marc Beswick.,23,28
05:09,1,Pass,11,Collin Klein pass to Kenny Stafford for 11 yards to the Mtl40. Tackled by James Rogers.,23,28
04:51,1,Rush,0,Robert Godhigh rush for no gain to the Mtl40. Tackled by Beau Landry.,23,28
04:29,2,Incomplete Pass,0,Collin Klein incomplete pass intended for Jheranie Boyd.,23,28
