Time,Down,Type,Yards,Details,Winnipeg,Edmonton
02:42,2,Interception,0,Matt Nichols pass intended for Fred Stamps INTERCEPTED. No return. Tackled by Kendial Lawrence.,9,41
02:32,1,Illegal Procedure,-3,Penalty: Illegal Procedure on Winnipeg (Cordaro Howard) -3 yards.,9,41
02:31,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Paris Cotton.,9,41
02:27,2,Pass,29,Brian Brohm pass to Romby Bryant for 29 yards to the Wpg31. Tackled by Patrick Watkins.,9,41
02:00,1,Pass,7,Brian Brohm pass to Nick Moore for 7 yards to the Wpg38. Tackled by Marcell Young.,9,41
01:57,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Nick Moore.,9,41
01:48,0,Pass Interference,10,Penalty: Pass Interference on Edmonton (Patrick Watkins) 10 yards.,9,41
01:43,1,Pass,6,Brian Brohm pass to Nick Moore for 6 yards to the Wpg54. Tackled by Marcell Young.,9,41
01:37,2,Pass,7,Brian Brohm pass to Romby Bryant for 7 yards to the Edm49. Tackled by Mike Dubuisson.,9,41
01:27,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,9,41
01:18,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,9,41
01:12,3,Pass,5,Brian Brohm pass to Cory Watson for 5 yards to the Edm44.,9,41
01:08,1,Rush,4,John White rush for 4 yards to the Edm48. Tackled by Ameet Pall.,9,41
01:03,2,Rush,2,John White rush for 2 yards to the Edm50. Tackled by Jason Vega.,9,41
00:44,3,Punt,12,Hugh O'Neill punts for 38 yards to Wpg22. Aaron Woods return for 12 yards to Wpg34. Tackled by J.C. Sherritt.,9,41
00:13,1,Pass,2,Brian Brohm pass to Romby Bryant for 2 yards to the Wpg36. Tackled by Alonzo Lawrence.,9,41
00:01,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Paris Cotton.,9,41
