Time,Down,Type,Yards,Details,Hamilton,Calgary
03:01,2,Pass,13,Bo Levi Mitchell pass to Anthony Parker for 13 yards to the Cgy38. Tackled by Jamall Johnson.,22,19
02:32,1,Pass,4,Bo Levi Mitchell pass to Jon Cornish for 4 yards to the Cgy42. Tackled by Simoni Lawrence.,22,19
02:19,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,22,19
02:07,3,Pass,32,Bo Levi Mitchell pass to Brad Sinopoli for 32 yards to the Ham36. Tackled by Neil King.,22,19
01:58,1,Pass,0,Bo Levi Mitchell pass to Larry Taylor for no gain to the Ham36. Tackled by Sam Scott.,22,19
01:52,2,Face Mask,21,Bo Levi Mitchell pass to Jabari Arthur for 6 yards to the Ham30. Tackled by Emanuel Davis. Penalty: Face Mask on Hamilton (Dee Webb) 15 yards.,22,19
01:18,1,Pass,15,Bo Levi Mitchell pass to Marquay McDaniel for 15 yards for a TOUCHDOWN.,22,25
01:18,0,Made Extra Point,0,Rene Paredes extra point is good.,22,26
01:18,0,Kickoff,20,Rene Paredes kicks off to the Ham8. Tavoy Moore return for 20 yards to Ham28. Tackled by Alvin Bowen.,22,26
01:11,1,Sack,-7,Sack at Ham21 for a loss of 7 yards by Charleston Hughes.,22,26
00:58,2,Pass,9,Henry Burris pass to Onrea Jones for 9 yards to the Ham30. Tackled by Juwan Simpson.,22,26
00:52,3,Pass,12,Henry Burris pass to Onrea Jones for 12 yards to the Ham42. Tackled by Derrius Brooks.,22,26
00:46,1,Rush,5,Henry Burris rush for 5 yards to the Ham47. Tackled by Demonte' Bolden.,22,26
00:40,2,Pass,10,Henry Burris pass to C.J. Gable for 10 yards to the Cgy53. Tackled by  .,22,26
00:33,1,Sack,-5,Sack at Ham52 for a loss of 5 yards by Cordarro Law.,22,26
00:24,2,Pass,13,Henry Burris pass to Bakari Grant for 13 yards to the Cgy45. Tackled by Brandon Smith.,22,26
00:12,3,Pass,11,Henry Burris pass to Dave Stala for 11 yards to the Cgy34. Tackled by Fred Bennett.,22,26
00:01,1,Interception,0,Henry Burris pass INTERCEPTED by Chris Randle. No return. Tackled by Andy Fantuz.,22,26
