Time,Down,Type,Yards,Details,Edmonton,Montreal
02:29,1,Rush,8,Brandon Whitaker rush for 8 yards to the Edm17. Tackled by T.J. Hill.,27,29
02:23,2,Rush,13,Brandon Whitaker rush for 13 yards to the Edm4. Tackled by Donovan Alexander.,27,29
01:59,1,Rush,2,Brandon Whitaker rush for 2 yards to the Edm2. Tackled by Ted Laurent.,27,29
01:40,2,Rush,1,Brandon Whitaker rush for 1 yard to the Edm1. Tackled by Damaso Munoz.,27,29
01:00,3,Missed Field Goal,9,Sean Whyte 9 yard field goal attempt is GOOD.,27,32
01:00,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm42. Tackled by Geoff Tisdale.,27,32
00:53,2,Pass,18,Mike Reilly pass to Fred Stamps for 18 yards to the Mtl50. Tackled by Kyries Hebert.,27,32
00:48,1,Pass,19,Mike Reilly pass to Fred Stamps for 19 yards to the Mtl31. Tackled by Kyries Hebert.,27,32
00:39,1,Pass,26,Mike Reilly pass to Marcus Henry for 26 yards to the Mtl5. Tackled by Mike Edem.,27,32
00:28,1,Rush,4,John White rush for 4 yards to the Mtl1. Tackled by Ejiro Kuale.,27,32
00:01,2,Rush,-2,John White rush for a loss of 2 yards to the Mtl3. Tackled by Kyries Hebert.,27,32
