Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
02:07,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Eron Riley.,17,24
02:01,3,Pass,12,Tino Sunseri pass to Alex Anthony for 12 yards to the Edm15. Tackled by Eric Samuels.,17,24
01:56,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Jordan Sisco.,17,24
01:46,2,Pass,14,Tino Sunseri pass to Greg Carr for 14 yards to the Edm1. Tackled by Nathan Kanya.,17,24
01:37,1,Rush,0,Tino Sunseri rush for no gain to the Edm1. Tackled by Kyle Norris.,17,24
01:25,2,Rush,0,Tino Sunseri rush for no gain to the Edm1. Tackled by Kyle Norris.,17,24
00:54,3,Pass,1,Tino Sunseri pass to DeDe Dorsey for 1 yard for a TOUCHDOWN.,23,24
00:54,0,Made Extra Point,0,Brody McKnight extra point is good.,24,24
00:54,0,Kickoff,4,Brody McKnight kicks off to the Edm29. Tracy Lampley return for 4 yards to Edm33. Tackled by Spencer Moore.,24,24
00:49,1,Rush,15,Jonathan Crompton rush for 15 yards to the Edm48. Tackled by Antonio Coleman.,24,24
00:24,1,Interception,57,Jonathan Crompton pass INTERCEPTED by Graig Newman and returned for 57 yards for a TOUCHDOWN.,30,24
00:24,0,Made Extra Point,0,Brody McKnight extra point is good.,31,24
00:24,0,Kickoff,17,Brody McKnight kicks off to the Edm27. Tracy Lampley return for 17 yards to Edm44. Tackled by Diamond Ferri.,31,24
00:17,1,Pass,13,Jonathan Crompton pass to Youssy Pierre for 13 yards to the Ssk53.,31,24
00:12,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Youssy Pierre.,31,24
00:08,2,Pass,21,Jonathan Crompton pass to Youssy Pierre for 21 yards to the Ssk32. Tackled by Paul Woldu.,31,24
