Time,Down,Type,Yards,Details,Toronto,Montreal
05:03,1,Rush,1,Curtis Steele rush for 1 yard to the Mtl32. Tackled by Geoff Tisdale.,32,13
04:40,2,Rush,4,Quinn Porter rush for 4 yards to the Mtl28. Tackled by Shea Emry.,32,13
03:35,3,Missed Field Goal,35,Noel Prefontaine 35 yard field goal attempt is GOOD.,35,13
03:35,1,Sack,-9,Sack at Mtl26 for a loss of 9 yards by Cleyon Laing.,35,13
03:13,2,Pass,7,Anthony Calvillo pass to S.J. Green for 7 yards to the Mtl33. Tackled by Jamie Robinson.,35,13
02:49,3,Punt,8,Sean Whyte punts for 43 yards to Tor34. Juaquin Iglesias return for 8 yards to Tor42. Tackled by Daryl Townsend.,35,13
02:27,1,Rush,3,Quinn Porter rush for 3 yards to the Tor45. Tackled by Michael Klassen.,35,13
02:22,2,Rush,4,Quinn Porter rush for 4 yards to the Tor49. Tackled by Shea Emry.,35,13
01:54,3,No Yards,25,Noel Prefontaine punts for 30 yards to Mtl31. Penalty: No Yards on Toronto (Matt Black) -5 yards.,35,13
01:27,1,Fumble,-3,Recovered by Tor (Kiante Tripp) FUMBLE,35,13
01:23,1,Rush,4,Quinn Porter rush for 4 yards to the Mtl29. Tackled by Chip Cox.,35,13
01:16,2,Rush,0,Zach Collaros rush for no gain to the Mtl29. Tackled by Kyries Hebert.,35,13
00:31,3,Missed Field Goal,36,Noel Prefontaine 36 yard field goal attempt is GOOD.,38,13
00:31,1,Pass,18,Tanner Marsh pass to Arland Bruce for 18 yards to the Mtl53. Tackled by Jalil Carter.,38,13
00:23,1,Pass,15,Tanner Marsh pass to Tyrell Sutton for 15 yards to the Tor42. Tackled by Ivan Brown.,38,13
00:09,1,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,38,13
00:02,1,Sack,-13,Sack at Mtl50 for a loss of 13 yards by Matt Black.,38,13
