Time,Down,Type,Yards,Details,Toronto,Winnipeg
14:13,1,Rush,5,Nic Grigsby rush for 5 yards to the Wpg48. Tackled by Tristan Okpalaugo.,14,38
13:40,1,Rush,5,Nic Grigsby rush for 5 yards to the Wpg53. Tackled by Greg Romeus.,14,38
12:58,2,Pass,3,Drew Willy pass to Aaron Kelly for 3 yards to the Tor54. Tackled by Jalil Carter.,14,38
12:14,3,Pass,11,Mike Renaud pass to Teague Sherman for 11 yards to the Tor43. Tackled by Chad Owens.,14,38
11:42,1,Rush,20,Nic Grigsby rush for 20 yards to the Tor23.,14,38
11:14,1,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Tor25. Tackled by Thaddeus Gibson.,14,38
10:32,2,Pass,11,Drew Willy pass to Clarence Denmark for 11 yards to the Tor14. Tackled by Jamie Robinson.,14,38
09:50,3,Rush,3,Robert Marve rush for 3 yards to the Tor11. Tackled by Matt Black.,14,38
09:14,1,Rush,4,Nic Grigsby rush for 4 yards to the Tor7. Tackled by Shane Horton.,14,38
08:10,2,Pass,7,Drew Willy pass to Julian Feoli-Gudino for 7 yards for a TOUCHDOWN.,14,44
07:54,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,14,45
07:54,0,Illegal Block,0,Lirim Hajrullahu kicks off to the Tor3. Anthony Coombs return for 10 yards to Tor13. Penalty: Illegal Block on Toronto (Alexandre Dupuis) -10 yards.,14,45
07:47,1,Pass,12,Ricky Ray pass to Spencer Watt for 12 yards to the Tor25. Tackled by Matt Bucknor.,14,45
07:20,1,Pass,3,Ricky Ray pass to Chad Owens for 3 yards to the Tor28. Tackled by Teague Sherman.,14,45
06:51,2,Unnecessary Roughness,22,Ricky Ray pass to Chad Owens for 7 yards to the Tor35. Penalty: Unnecessary Roughness on Winnipeg (Chris Randle) 15 yards.,14,45
06:32,0,Fumble,-16,FUMBLE  Recovered by Tor (Trevor Harris),14,45
06:00,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Owens.,14,45
05:42,3,Punt,5,Swayze Waters punts for 56 yards to Wpg20. Aaron Woods return for 5 yards to Wpg25. Tackled by Ivan Brown.,14,45
05:27,1,Rush,0,Carl Volny rush for no gain to the Wpg25. Tackled by Logan Harrell.,14,45
04:44,2,Pass,8,Brian Brohm pass to Carl Volny for 8 yards to the Wpg33. Tackled by Shea Emry.,14,45
03:33,3,Punt,83,Mike Renaud punts for 50 yards to Tor27. Chad Owens return for 83 yards to Wpg0 for a TOUCHDOWN.,20,45
03:22,0,Made Extra Point,0,Swayze Waters extra point is good.,21,45
03:22,0,Kickoff,2,Swayze Waters kicks off to the Tor44. Nick Moore return for 2 yards to Tor42. Tackled by Delano Johnson.,21,45
03:20,1,Rush,5,Nic Grigsby rush for 5 yards to the Tor37.,21,45
02:58,2,Pass,3,Drew Willy pass to Julian Feoli-Gudino for 3 yards to the Tor34. Tackled by Jalil Carter.,21,45
02:34,3,Rush,4,Robert Marve rush for 4 yards to the Tor30. Tackled by Logan Harrell.,21,45
02:10,1,Rush,3,Nic Grigsby rush for 3 yards to the Tor27.,21,45
01:49,2,Rush,10,Nic Grigsby rush for 10 yards to the Tor17. Tackled by Delano Johnson.,21,45
01:20,0,Holding,-10,Penalty: Holding on Winnipeg (Steve Morley) -10 yards.,21,45
00:59,1,Rush,-1,Carl Volny rush for a loss of 1 yard to the Tor28. Tackled by Shea Emry.,21,45
