Time,Down,Type,Yards,Details,Montreal,Winnipeg
11:42,3,Time Count,-1,Penalty: Time Count on Winnipeg (Mike Renaud) -1 yards.,24,33
11:20,3,Punt,2,Mike Renaud punts for 43 yards to Wpg46. Tyron Carrier return for 2 yards to Wpg44. Tackled by Michel-Pierre Pontbriand.,24,33
10:59,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Noel Devine.,24,33
10:28,2,Pass,42,Anthony Calvillo pass to S.J. Green for 42 yards for a TOUCHDOWN.,30,33
10:17,0,Made Extra Point,0,Sean Whyte extra point is good.,31,33
10:17,0,Kickoff,25,Sean Whyte kicks off to the Wpg8. Will Ford return for 25 yards to Wpg33. Tackled by Steven Lumbala.,31,33
10:11,1,Pass,6,Buck Pierce pass to Chad Simpson for 6 yards to the Wpg39. Tackled by Billy Parker.,31,33
09:36,0,Holding,-10,Penalty: Holding on Winnipeg (Steve Morley) -10 yards.,31,33
09:07,2,Pass,12,Buck Pierce pass to Cory Watson for 12 yards to the Wpg41. Tackled by Kyries Hebert.,31,33
08:47,3,Punt,12,Mike Renaud punts for 47 yards to Mtl22. Tyron Carrier return for 12 yards to Mtl34. Tackled by Dan West.,31,33
08:26,1,Offside,-5,Penalty: Offside on Montreal (Luc Brodeur-Jourdain) -5 yards.,31,33
08:10,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,31,33
07:55,0,Holding,-10,Penalty: Holding on Montreal (Eric Deslauriers) -10 yards.,31,33
07:30,0,Pass Interference,49,Penalty: Pass Interference on Winnipeg (Jovon Johnson) 49 yards.,31,33
07:00,1,Rush,2,Noel Devine rush for 2 yards to the Wpg40. Tackled by Terrell Parker.,31,33
06:29,2,Pass,8,Anthony Calvillo pass to Jamel Richardson for 8 yards to the Wpg32. Tackled by Brandon Stewart.,31,33
06:04,1,Pass,9,Anthony Calvillo pass to Jamel Richardson for 9 yards to the Wpg23. Tackled by Terrell Parker.,31,33
05:26,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Luc Brodeur-Jourdain) -5 yards.,31,33
05:12,2,Rush,1,Noel Devine rush for 1 yard to the Wpg27. Tackled by Terrell Parker.,31,33
04:28,3,Missed Field Goal,34,Sean Whyte 34 yard field goal attempt is GOOD.,34,33
04:28,1,Rush,5,Chad Simpson rush for 5 yards to the Wpg40. Tackled by Scooter Berry.,34,33
03:58,2,Pass,-1,Buck Pierce pass to Chad Simpson for a loss of 1 yard to the Wpg39. Tackled by John Bowman.,34,33
03:19,3,Punt,14,Mike Renaud punts for 42 yards to Mtl29. Tyron Carrier return for 14 yards to Mtl43. Tackled by Michel-Pierre Pontbriand.,34,33
03:05,1,Rush,21,Noel Devine rush for 21 yards to the Wpg46.,34,33
02:39,1,Rush,1,Noel Devine rush for 1 yard to the Wpg45. Tackled by Demond Washington.,34,33
02:17,2,Pass,15,Anthony Calvillo pass to Brandon London for 15 yards to the Wpg30. Tackled by Demond Washington.,34,33
01:54,1,Rush,1,Noel Devine rush for 1 yard to the Wpg29. Tackled by Terrell Parker.,34,33
