Time,Down,Type,Yards,Details,Winnipeg,Montreal
02:10,0,Kickoff,25,"Sean Whyte kicks off to the Wpg11. Jovon Johnson return for 25 yards to Wpg36., recovered by Wpg (Bryant Turner).",16,11
02:01,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg39. Tackled by Kyries Hebert.,16,11
01:56,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Mike Edem) 15 yards.,16,11
01:52,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg53. Tackled by Chip Cox.,16,11
01:48,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Rory Kohlert defensed by Byron Parker.,16,11
01:28,3,Punt,13,Mike Renaud punts for 40 yards to Mtl17. Noel Devine return for 13 yards to Mtl30. Tackled by Cauchy Muamba.,16,11
01:17,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,16,11
01:12,2,Fumble,-7,"Sack at Mtl23 for a loss of 7 yards by Bryant Turner. FUMBLE, recovered by Wpg (Zach Anderson). Tackled by Luc Brodeur-Jourdain.",16,11
01:07,1,Rush,1,Will Ford rush for 1 yard to the Mtl22. Tackled by Chip Cox.,16,11
01:00,2,Rush,2,Will Ford rush for 2 yards to the Mtl20. Tackled by Kyries Hebert.,16,11
00:17,3,Missed Field Goal,27,Justin Palardy 27 yard field goal attempt is GOOD.,19,11
00:17,1,Roughing Passer,25,Anthony Calvillo pass to Jamel Richardson for 10 yards to the Mtl45. Tackled by Terrell Parker. Penalty: Roughing Passer on Winnipeg (Kenny Mainor) 15 yards.,19,11
00:05,1,Interception,17,Anthony Calvillo pass intended for Arland Bruce INTERCEPTED by Jovon Johnson and returned for 17 yards.,19,11
